datetime;evaluatorName;evaluatorNote;lineupID;totalSelected;visualSelected;cbSelected;bothSelected;visualEntries;cbEntries
2017-03-20 15:00:05;evaluator4;CBRS_vs_VisualRS evaluation; 13190215170014 ;6;3;3;0;7,11,18;6,11,17
2017-03-20 15:01:18;evaluator4;CBRS_vs_VisualRS evaluation; 13581007160707 ;3;1;2;0;19;1,2
2017-03-20 15:02:05;evaluator4;CBRS_vs_VisualRS evaluation; 12110307171801 ;3;3;0;0;4,6,19;
2017-03-20 15:02:53;evaluator4;CBRS_vs_VisualRS evaluation; 11400127100602 ;3;1;1;1;5;6
2017-03-20 15:03:48;evaluator4;CBRS_vs_VisualRS evaluation; 11020516160613 ;3;2;1;0;3,16;3
2017-03-20 15:04:44;evaluator4;CBRS_vs_VisualRS evaluation; 1010719161804 ;3;2;0;1;13,16;
2017-03-20 15:06:02;evaluator4;CBRS_vs_VisualRS evaluation; 9080719130107 ;3;3;0;0;2,5,19;
2017-03-20 15:06:58;evaluator4;CBRS_vs_VisualRS evaluation; 10350228170012 ;4;3;1;0;10,18,19;2
2017-03-20 15:08:04;evaluator4;CBRS_vs_VisualRS evaluation; 18580109170011 ;3;1;2;0;1;6,16
2017-03-20 15:08:55;evaluator4;CBRS_vs_VisualRS evaluation; 11541231141909 ;3;1;0;2;9;
2017-03-20 15:10:01;evaluator4;CBRS_vs_VisualRS evaluation; 9210822160706 ;3;1;2;0;12;11,14
2017-03-20 15:12:27;evaluator4;CBRS_vs_VisualRS evaluation; 13360622050020 ;3;1;2;0;16;5,11
2017-03-20 15:15:52;evaluator4;CBRS_vs_VisualRS evaluation; 10170223171706 ;4;3;1;0;2,6,9;15
2017-03-20 16:39:41;evaluator5;CBRS_vs_VisualRS evaluation; 15231113090113 ;3;1;2;0;9;5,7
2017-03-20 16:39:59;evaluator6;CBRS_vs_VisualRS evaluation; 15231113090113 ;3;1;2;0;15;7,17
2017-03-20 16:41:14;evaluator5;CBRS_vs_VisualRS evaluation; 13060228170612 ;3;1;2;0;3;6,12
2017-03-20 16:42:17;evaluator6;CBRS_vs_VisualRS evaluation; 13060228170612 ;3;2;1;0;1,11;16
2017-03-20 16:42:34;evaluator5;CBRS_vs_VisualRS evaluation; 15080306171805 ;3;2;1;0;11,13;4
2017-03-20 16:43:21;evaluator5;CBRS_vs_VisualRS evaluation; 8480518040305 ;3;1;2;0;18;7,11
2017-03-20 16:44:49;evaluator6;CBRS_vs_VisualRS evaluation; 15080306171805 ;3;3;0;0;5,7,11;
2017-03-20 16:45:28;evaluator5;CBRS_vs_VisualRS evaluation; 20211230160407 ;3;1;1;1;5;16
2017-03-20 16:46:33;evaluator6;CBRS_vs_VisualRS evaluation; 8480518040305 ;3;1;2;0;12;7,8
2017-03-20 16:46:59;evaluator5;CBRS_vs_VisualRS evaluation; 14330309160116 ;3;3;0;0;13,16,17;
2017-03-20 16:48:11;evaluator6;CBRS_vs_VisualRS evaluation; 20211230160407 ;4;3;0;1;5,7,12;
2017-03-20 16:49:22;evaluator5;CBRS_vs_VisualRS evaluation; 11180117171805 ;4;3;1;0;2,6,19;14
2017-03-20 16:50:26;evaluator6;CBRS_vs_VisualRS evaluation; 14330309160116 ;4;2;2;0;2,13;3,5
2017-03-20 16:50:37;evaluator5;CBRS_vs_VisualRS evaluation; 14520302990511 ;3;2;1;0;1,6;13
2017-03-20 16:52:30;evaluator6;CBRS_vs_VisualRS evaluation; 11180117171805 ;3;2;1;0;4,6;14
2017-03-20 16:52:58;evaluator5;CBRS_vs_VisualRS evaluation; 14440602161805 ;3;3;0;0;1,7,16;
2017-03-20 16:55:11;evaluator6;CBRS_vs_VisualRS evaluation; 14520302990511 ;3;1;2;0;4;7,20
2017-03-20 16:55:15;evaluator5;CBRS_vs_VisualRS evaluation; 12031205160707 ;3;3;0;0;1,2,4;
2017-03-20 16:56:41;evaluator6;CBRS_vs_VisualRS evaluation; 14440602161805 ;4;3;1;0;1,4,17;5
2017-03-20 16:57:55;evaluator5;CBRS_vs_VisualRS evaluation; 9500728151711 ;3;0;3;0;;7,8,12
2017-03-20 16:59:07;evaluator5;CBRS_vs_VisualRS evaluation; 11321204140014 ;3;2;1;0;3,12;7
2017-03-20 16:59:11;evaluator6;CBRS_vs_VisualRS evaluation; 9500728151711 ;4;3;1;0;3,8,11;2
2017-03-20 17:00:46;evaluator5;CBRS_vs_VisualRS evaluation; 10030930160410 ;3;2;1;0;7,12;3
2017-03-20 17:02:37;evaluator6;CBRS_vs_VisualRS evaluation; 12031205160707 ;4;3;1;0;3,9,18;2
2017-03-20 17:03:04;evaluator5;CBRS_vs_VisualRS evaluation; 17370616060704 ;3;1;2;0;1;9,12
2017-03-20 17:04:20;evaluator5;CBRS_vs_VisualRS evaluation; 8510828140704 ;3;2;1;0;10,15;15
2017-03-20 17:05:19;evaluator6;CBRS_vs_VisualRS evaluation; 11321204140014 ;6;3;3;0;3,6,10;4,7,11
2017-03-20 17:06:00;evaluator5;CBRS_vs_VisualRS evaluation; 10190205080208 ;3;3;0;0;3,6,10;
2017-03-20 17:07:17;evaluator6;CBRS_vs_VisualRS evaluation; 10030930160410 ;3;2;1;0;1,5;3
2017-03-20 17:08:12;evaluator5;CBRS_vs_VisualRS evaluation; 13270512150406 ;3;2;1;0;1,11;2
2017-03-20 17:09:40;evaluator6;CBRS_vs_VisualRS evaluation; 8510828140704 ;3;2;1;0;9,11;5
2017-03-20 17:10:32;evaluator5;CBRS_vs_VisualRS evaluation; 13190215170014 ;3;2;1;0;5,18;1
2017-03-20 17:11:20;evaluator6;CBRS_vs_VisualRS evaluation; 17370616060704 ;4;1;2;1;7;7,9
2017-03-20 17:11:48;evaluator5;CBRS_vs_VisualRS evaluation; 13581007160707 ;3;0;3;0;;6,12,19
